,cash,mv,nav
2015-01-20,31191.103262104018,1035598.5277406822,1066789.6310027863
2015-01-21,31191.103262104018,1039675.6911024675,1070866.7943645716
2015-01-22,31694.503537933073,1047287.438689101,1078981.9422270341
2015-01-23,31694.503537933073,1043932.6700470501,1075627.1735849832
2015-01-26,31694.503537933073,1049456.1782707751,1081150.6818087082
2015-01-27,32725.078594417388,1046613.2093700998,1079338.2879645173
2015-01-28,32725.078594417388,1034394.3004398536,1067119.379034271
2015-01-29,32725.078594417388,1038767.49987049,1071492.5784649074
2015-01-30,34562.09673481633,1030392.2276026856,1064954.324337502
2015-02-02,34562.09673481633,1038609.7063998304,1073171.8031346467
2015-02-03,35793.12272803134,1050641.494320222,1086434.6170482533
2015-02-04,35793.12272803134,1046076.4346875469,1081869.5574155783
2015-02-05,35871.01593560405,1055224.5215777962,1091095.5375134002
2015-02-06,35871.01593560405,1048670.3976806821,1084541.4136162861
2015-02-09,35871.01593560405,1048023.18660807,1083894.202543674
2015-02-10,35871.01593560405,1050636.9248317108,1086507.9407673148
2015-02-11,35871.01593560405,1048371.9123090971,1084242.9282447011
2015-02-12,35871.01593560405,1057075.7954084163,1092946.8113440203
2015-02-13,35871.01593560405,1062103.9622254816,1097974.9781610856
2015-02-17,36111.31105607426,1062759.64299248,1098870.9540485542
2015-02-18,36494.61717118401,1063084.7488217084,1099579.3659928923
2015-02-19,36494.61717118401,1060266.066021935,1096760.683193119
2015-02-20,36494.61717118401,1062933.3640137536,1099427.9811849375
2015-02-23,36494.61717118401,1061189.1992376198,1097683.8164088037
2015-02-24,36494.61717118401,1063120.950088219,1099615.567259403
2015-02-25,36494.61717118401,1064846.6406013856,1101341.2577725695
2015-02-26,36494.61717118401,1061594.8707164722,1098089.487887656
2015-02-27,36494.61717118401,1061464.5540637926,1097959.1712349765
2015-03-02,36494.61717118401,1062061.3994584917,1098556.0166296756
2015-03-03,36618.854701852564,1059605.6204764356,1096224.4751782883
2015-03-04,36618.854701852564,1056903.579260195,1093522.4339620476
2015-03-05,36618.854701852564,1057812.4827448234,1094431.337446676
2015-03-06,36618.854701852564,1043714.9564968335,1080333.811198686
2015-03-09,36618.854701852564,1043059.1135496112,1079677.9682514637
2015-03-10,37033.46603144696,1031182.047283708,1068215.513315155
2015-03-11,37033.46603144696,1032124.1888499793,1069157.6548814264
2015-03-12,37033.46603144696,1038725.1623704481,1075758.628401895
2015-03-13,37503.29447847006,1033643.5177017065,1071146.8121801766
2015-03-16,37503.29447847006,1039041.1525479691,1076544.4470264392
2015-03-17,39153.4382225275,1036041.509058587,1075194.9472811145
2015-03-18,39153.4382225275,1048566.2990338486,1087719.737256376
2015-03-19,39153.4382225275,1043443.4985600795,1082596.9367826069
2015-03-20,39153.4382225275,1051987.8436297516,1091141.281852279
2015-03-23,39153.4382225275,1052703.0487507756,1091856.4869733031
2015-03-24,39153.4382225275,1050139.3261775263,1089292.7644000538
2015-03-25,39153.4382225275,1040338.7279621778,1079492.1661847052
2015-03-26,39153.4382225275,1037464.6361300333,1076618.0743525608
2015-03-27,39153.4382225275,1038045.1395806725,1077198.5778031999
2015-03-30,39153.4382225275,1045275.4805141938,1084428.9187367212
2015-03-31,25164.301962201545,1059264.6167745208,1084428.9187367223
2015-04-01,25657.64206802078,1058926.053306965,1084583.6953749857
2015-04-02,25657.64206802078,1063405.6599141003,1089063.301982121
2015-04-06,25657.64206802078,1069100.8175456915,1094758.4596137123
2015-04-07,26564.243989006627,1067351.1408237168,1093915.3848127234
2015-04-08,26564.243989006627,1069227.7532862402,1095791.9972752468
2015-04-09,26564.243989006627,1070425.4816101238,1096989.7255991304
2015-04-10,26564.243989006627,1072662.9187172058,1099227.1627062124
2015-04-13,26564.243989006627,1070534.8498240628,1097099.0938130694
2015-04-14,26564.243989006627,1073495.9042337183,1100060.148222725
2015-04-15,26564.243989006627,1080457.0371132197,1107021.2811022263
2015-04-16,26790.015912490093,1078336.6945586987,1105126.7104711889
2015-04-17,26790.015912490093,1069346.8342609457,1096136.8501734359
2015-04-20,26790.015912490093,1073733.9898665259,1100524.005779016
2015-04-21,26790.015912490093,1072101.6320327008,1098891.647945191
2015-04-22,26790.015912490093,1074228.9857500498,1101019.00166254
2015-04-23,26790.015912490093,1077976.3336635707,1104766.349576061
2015-04-24,26790.015912490093,1077286.1447955999,1104076.16070809
2015-04-27,26790.015912490093,1072880.9045388044,1099670.9204512946
2015-04-28,26790.015912490093,1074125.204413338,1100915.2203258283
2015-04-29,26790.015912490093,1070451.567695733,1097241.5836082231
2015-04-30,18120.288015173115,1079121.2955930487,1097241.5836082217
2015-05-01,18665.78515233259,1084996.2031766097,1103661.9883289423
2015-05-04,18665.78515233259,1088357.7474152904,1107023.532567623
2015-05-05,19202.278201815792,1075896.5720151132,1095098.850216929
2015-05-06,19202.278201815792,1072612.9081233607,1091815.1863251766
2015-05-07,19202.278201815792,1074538.0524040074,1093740.3306058233
2015-05-08,19718.105241837173,1084436.0144339493,1104154.1196757865
2015-05-11,19718.105241837173,1081790.877484333,1101508.9827261702
2015-05-12,20249.611783791126,1079053.4442805438,1099303.056064335
2015-05-13,20249.611783791126,1078293.3278636439,1098542.939647435
